device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,71.59493454704419,0,1762763520.9211133,4.700422286987305
sensor_f1r1_anomaly,anomaly,64.35397299938383,1,1762763521.9259665,2.2661685943603516
sensor_f1r1_normal,normal,23.027095732584176,0,1762763521.9290476,5.024433135986328
sensor_f1r2_normal,normal,20.28199308825903,0,1762763521.9316754,4.844427108764648
sensor_f1r2_anomaly,anomaly,68.44234817908004,0,1762763521.9403021,5.537986755371094
sensor_f1r1_anomaly,anomaly,65.30464059132996,2,1762763522.9285042,3.103494644165039
sensor_f1r1_normal,normal,29.464899617859892,1,1762763522.9338977,2.4750232696533203
sensor_f1r3_anomaly,anomaly,75.81215078740017,0,1762763522.933048,4.569768905639648
sensor_f1r3_normal,normal,23.92933172472861,0,1762763522.9330926,5.12385368347168
sensor_f1r2_normal,normal,22.40627720674417,1,1762763522.9369807,1.3823509216308594
sensor_f2r1_anomaly,anomaly,71.83993551223674,0,1762763522.936064,3.4265518188476562
sensor_f1r2_anomaly,anomaly,88.10115101407143,1,1762763522.9455752,0.8206367492675781
sensor_f1r1_anomaly,anomaly,51.419784145604666,3,1762763523.93105,3.225564956665039
sensor_f1r1_normal,normal,21.015182666224796,2,1762763523.9361334,2.198934555053711
sensor_f2r1_normal,normal,27.680114299656868,0,1762763523.9343061,5.706548690795898
sensor_f1r3_anomaly,anomaly,81.14483536057085,1,1762763523.9378827,2.5784969329833984
sensor_f2r2_normal,normal,21.3743170270357,0,1762763523.9358633,4.962682723999023
sensor_f2r2_anomaly,anomaly,68.30489112964652,0,1762763523.9355237,5.697727203369141
sensor_f1r2_normal,normal,24.943146489913666,2,1762763523.938231,3.3495426177978516
sensor_f1r3_normal,normal,20.720082494361776,1,1762763523.9386067,3.3059120178222656
sensor_f2r1_anomaly,anomaly,93.51209182416383,1,1762763523.9394097,3.3066272735595703
sensor_f1r2_anomaly,anomaly,63.68359239035796,2,1762763523.9465685,1.3453960418701172
