device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,97.3826372910612,0,1762764281.1389942,4.771947860717773
sensor_f1r1_anomaly,anomaly,67.7779858510055,1,1762764282.1429632,2.6633739471435547
sensor_f1r1_normal,normal,26.6611262456322,0,1762764282.1424007,4.009723663330078
sensor_f1r2_normal,normal,24.529541726700096,0,1762764282.1411872,8.292675018310547
sensor_f1r2_anomaly,anomaly,65.44626996316438,0,1762764282.1412022,8.71729850769043
sensor_f1r1_anomaly,anomaly,82.78538237721267,2,1762764283.1462076,4.37617301940918
sensor_f1r1_normal,normal,25.325365907351006,1,1762764283.1461287,4.998683929443359
sensor_f1r3_anomaly,anomaly,92.03600693818628,0,1762764283.1467326,5.377531051635742
sensor_f1r2_anomaly,anomaly,86.41417701062551,1,1762764283.1493213,4.640340805053711
sensor_f1r2_normal,normal,21.684212212139137,1,1762764283.1498928,4.239559173583984
sensor_f1r3_normal,normal,21.269993794272594,0,1762764283.1496627,4.5986175537109375
sensor_f2r1_anomaly,anomaly,56.528335823444664,0,1762764283.1538363,5.807638168334961
sensor_f2r2_normal,normal,27.74951302402858,0,1762764284.1462152,4.598379135131836
sensor_f2r1_normal,normal,25.215573279272398,0,1762764284.1467595,4.297494888305664
sensor_f1r1_anomaly,anomaly,94.61693567601384,3,1762764284.1493256,1.9190311431884766
sensor_f1r1_normal,normal,22.129592412775246,2,1762764284.1511052,2.1202564239501953
sensor_f2r2_anomaly,anomaly,84.42017628967605,0,1762764284.149502,3.888845443725586
sensor_f1r3_anomaly,anomaly,67.50907026570998,1,1762764284.1522014,1.867532730102539
sensor_f1r2_anomaly,anomaly,82.98766390002746,2,1762764284.1528955,2.140045166015625
sensor_f1r2_normal,normal,26.9169703523177,2,1762764284.15361,1.5978813171386719
sensor_f1r3_normal,normal,26.928023420397384,1,1762764284.1543286,1.4691352844238281
sensor_f2r1_anomaly,anomaly,71.85065648788188,1,1762764284.1594844,1.8451213836669922
sensor_f1r1_anomaly,anomaly,77.10205972919243,4,1762764285.1513708,5.201101303100586
sensor_f2r2_normal,normal,23.288492971897362,1,1762764285.1502094,6.574153900146484
sensor_f2r1_normal,normal,25.83004626457554,1,1762764285.1529615,6.566762924194336
sensor_f1r1_normal,normal,21.53662385609175,3,1762764285.1539602,5.722284317016602
sensor_f2r2_anomaly,anomaly,67.79514792674695,1,1762764285.1536677,6.9179534912109375
sensor_f2r3_normal,normal,24.960841123708285,0,1762764285.152083,10.44321060180664
sensor_f1r2_anomaly,anomaly,97.11473635437468,3,1762764285.1544352,8.311986923217773
sensor_f1r3_anomaly,anomaly,95.21461426232122,2,1762764285.1542425,8.735895156860352
sensor_f1r2_normal,normal,24.486200699183602,3,1762764285.155383,7.800817489624023
sensor_f3r1_anomaly,anomaly,73.15607126531344,0,1762764285.1528618,10.49184799194336
sensor_f1r3_normal,normal,22.1591630474137,2,1762764285.1561992,7.302761077880859
sensor_f2r3_anomaly,anomaly,65.60980741837353,0,1762764285.1539958,9.661674499511719
sensor_f2r1_anomaly,anomaly,67.19914499544147,2,1762764285.161618,2.7494430541992188
sensor_f3r1_normal,normal,26.392591465854068,0,1762764286.152051,4.204511642456055
