device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,89.43069173602488,0,1762765107.7290761,5.9795379638671875
sensor_f1r1_anomaly,anomaly,81.73742534421802,1,1762765108.7344983,3.383636474609375
sensor_f1r1_normal,normal,25.872645965392415,0,1762765108.735575,5.88536262512207
sensor_f1r2_anomaly,anomaly,68.7721277160878,0,1762765108.7371452,5.657434463500977
sensor_f1r2_normal,normal,26.3292474977345,0,1762765108.7385037,4.599571228027344
sensor_f1r1_anomaly,anomaly,79.02335327733518,2,1762765109.737323,2.8014183044433594
sensor_f1r2_anomaly,anomaly,80.14863539518575,1,1762765109.7426798,3.625631332397461
sensor_f1r1_normal,normal,20.59000025277536,1,1762765109.7435417,3.2286643981933594
sensor_f2r1_anomaly,anomaly,85.94033121155557,0,1762765109.7411394,6.053924560546875
sensor_f1r3_normal,normal,24.4992795767864,0,1762765109.7417963,5.734920501708984
sensor_f1r2_normal,normal,29.240159422570926,1,1762765109.7435675,4.348516464233398
sensor_f1r3_anomaly,anomaly,99.90840038029631,0,1762765109.7408938,7.468700408935547
sensor_f1r1_anomaly,anomaly,89.93345026643098,3,1762765110.7402048,3.2320022583007812
sensor_f1r2_normal,normal,27.582178954484704,2,1762765110.746674,3.6411285400390625
sensor_f2r1_anomaly,anomaly,84.64150142075525,1,1762765110.7464356,4.062891006469727
sensor_f1r2_anomaly,anomaly,67.14897760167925,2,1762765110.746526,4.085779190063477
sensor_f1r3_normal,normal,25.129864557744114,1,1762765110.7465239,4.189968109130859
sensor_f1r1_normal,normal,22.709707359952535,2,1762765110.7473383,3.476381301879883
sensor_f1r3_anomaly,anomaly,61.346118705400166,1,1762765110.747421,66.30110740661621
sensor_f2r1_normal,normal,28.472212938722926,0,1762765110.7451386,74.18155670166016
sensor_f2r2_normal,normal,24.28521291309272,0,1762765110.7476714,116.86325073242188
sensor_f2r2_anomaly,anomaly,90.26263285774665,0,1762765110.7503903,175.1577854156494
sensor_f1r1_anomaly,anomaly,72.08264027550142,4,1762765111.7430356,3.0956268310546875
sensor_f1r1_normal,normal,29.31680342399273,3,1762765111.749366,3.9408206939697266
sensor_f1r2_normal,normal,24.909257057231986,3,1762765111.749156,4.474163055419922
sensor_f1r2_anomaly,anomaly,82.05295734450021,3,1762765111.7496643,4.08935546875
sensor_f1r3_normal,normal,21.571464575896194,2,1762765111.7495823,4.277944564819336
sensor_f2r1_anomaly,anomaly,78.06499846545591,2,1762765111.7500114,3.9641857147216797
sensor_f3r1_anomaly,anomaly,71.57693420235037,0,1762765111.7485595,30.0140380859375
sensor_f2r3_normal,normal,27.14428029594415,0,1762765111.7499058,34.4233512878418
sensor_f1r3_anomaly,anomaly,61.8435276514691,2,1762765111.8133278,105.54289817810059
sensor_f2r1_normal,normal,24.012147738649695,1,1762765111.8190637,110.94546318054199
sensor_f2r3_anomaly,anomaly,50.91243753279583,0,1762765111.752349,188.19236755371094
sensor_f2r2_normal,normal,23.47485933122159,1,1762765111.864451,87.24594116210938
sensor_f2r2_anomaly,anomaly,82.8433933194151,1,1762765111.925562,85.02793312072754
sensor_f1r1_anomaly,anomaly,83.07229411070946,5,1762765112.7499669,1.6558170318603516
sensor_f3r2_anomaly,anomaly,93.1529539360897,0,1762765112.74945,4.358053207397461
sensor_f2r1_anomaly,anomaly,81.22284823101435,3,1762765112.7536087,1.0962486267089844
sensor_f1r1_normal,normal,28.42780595233608,4,1762765112.752777,2.131938934326172
sensor_f1r2_normal,normal,29.094397555837357,4,1762765112.752708,2.397298812866211
sensor_f1r2_anomaly,anomaly,60.98829542878221,4,1762765112.7536108,1.7933845520019531
sensor_f1r3_normal,normal,28.009405681857274,3,1762765112.755157,90.45791625976562
sensor_f3r1_normal,normal,27.125804810166073,0,1762765112.7525802,110.00919342041016
sensor_f3r1_anomaly,anomaly,87.27438172245127,1,1762765112.7783282,95.17478942871094
sensor_f2r3_normal,normal,28.28087653760282,1,1762765112.7838526,100.40569305419922
sensor_f3r2_normal,normal,25.7471858090053,0,1762765112.7542036,151.69239044189453
sensor_f1r3_anomaly,anomaly,98.50443926181539,3,1762765112.91852,63.706398010253906
sensor_f2r1_normal,normal,22.545589624856383,2,1762765112.9296112,63.39907646179199
sensor_f2r3_anomaly,anomaly,57.24955230473542,1,1762765112.940533,63.53950500488281
sensor_f2r2_normal,normal,22.620206258977746,2,1762765112.9512963,64.17107582092285
sensor_f2r2_anomaly,anomaly,67.10168139619165,2,1762765113.010232,63.96126747131348
sensor_f1r1_anomaly,anomaly,88.11629117611118,6,1762765113.7513113,5.397319793701172
sensor_f1r2_normal,normal,29.350762138006978,5,1762765113.7551854,4.015922546386719
sensor_f2r1_anomaly,anomaly,86.78799618699335,4,1762765113.7545288,5.099296569824219
sensor_f3r2_anomaly,anomaly,51.23240892698446,1,1762765113.75383,6.175994873046875
sensor_f1r1_normal,normal,29.09709089420503,5,1762765113.7560105,24.435997009277344
sensor_f1r2_anomaly,anomaly,86.57760402471453,5,1762765113.7570667,34.38258171081543
sensor_f3r3_normal,normal,21.54962527864604,0,1762765113.7566183,40.465354919433594
sensor_f3r3_anomaly,anomaly,97.94893959340035,0,1762765113.75689,46.36693000793457
sensor_f1r3_normal,normal,22.67361397962178,4,1762765113.8455346,59.82351303100586
sensor_f3r1_normal,normal,23.125084600663566,1,1762765113.8623285,59.70263481140137
sensor_f3r1_anomaly,anomaly,94.15495022000508,2,1762765113.8731937,59.41200256347656
sensor_f2r3_normal,normal,26.838236867610487,2,1762765113.8839936,75.9737491607666
sensor_f3r2_normal,normal,24.734400050337463,1,1762765113.9055285,86.51375770568848
sensor_f1r3_anomaly,anomaly,60.43611206791644,4,1762765113.9821777,59.706687927246094
sensor_f2r1_normal,normal,28.291877372637774,3,1762765113.9928968,65.71245193481445
sensor_f2r3_anomaly,anomaly,98.95331353465721,2,1762765114.0039232,65.27447700500488
sensor_f2r2_normal,normal,24.034533427714678,3,1762765114.015134,75.68502426147461
sensor_f2r2_anomaly,anomaly,61.64829219244072,3,1762765114.07384,65.70315361022949
sensor_f1r1_anomaly,anomaly,95.11542451472582,7,1762765114.7540147,2.878427505493164
sensor_f1r2_normal,normal,23.951000324452487,6,1762765114.7576928,1.3766288757324219
sensor_f3r2_anomaly,anomaly,59.59457085826935,2,1762765114.7587416,1.3844966888427734
sensor_f2r1_anomaly,anomaly,63.350271066311294,5,1762765114.7583497,2.1941661834716797
sensor_f1r1_normal,normal,27.44873294698986,6,1762765114.7806413,1.3742446899414062
sensor_f1r2_anomaly,anomaly,61.79798793174705,6,1762765114.7914038,2.245664596557617
sensor_f3r3_normal,normal,28.44331400910782,1,1762765114.7974775,5.405664443969727
sensor_f3r3_anomaly,anomaly,60.923025779985366,1,1762765114.803258,33.896684646606445
sensor_f1r3_normal,normal,29.71056561626913,5,1762765114.904851,2.736806869506836
sensor_f3r1_normal,normal,26.635142139612263,2,1762765114.92162,2.548694610595703
sensor_f3r1_anomaly,anomaly,51.58583923117441,3,1762765114.9324267,2.326488494873047
sensor_f2r3_normal,normal,24.139553548998627,3,1762765114.959909,2.111673355102539
sensor_f3r2_normal,normal,26.646850775406534,2,1762765114.992005,2.191781997680664
sensor_f1r3_anomaly,anomaly,84.04397673863123,5,1762765115.0415547,3.469705581665039
sensor_f2r1_normal,normal,23.600630200038406,4,1762765115.0583456,1.6930103302001953
sensor_f2r3_anomaly,anomaly,51.968042359853804,3,1762765115.0691168,2.0046234130859375
