device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,53.68558322463194,0,1762744882.859743,6.108522415161133
sensor_f1r1_anomaly,anomaly,50.92558949281175,1,1762744883.866967,2.1347999572753906
sensor_f1r2_anomaly,anomaly,55.73542594821124,0,1762744883.8743951,4.035234451293945
sensor_f1r1_normal,normal,21.919685073375142,0,1762744883.8762615,3.8330554962158203
sensor_f1r2_normal,normal,29.519641412223848,0,1762744883.878666,3.4356117248535156
sensor_f1r1_anomaly,anomaly,85.75616533129761,2,1762744884.8687592,2.452850341796875
sensor_f1r3_normal,normal,21.893897301400436,0,1762744884.876745,4.538774490356445
sensor_f1r3_anomaly,anomaly,79.8241109677936,0,1762744884.87543,6.28662109375
sensor_f1r2_anomaly,anomaly,59.7290116102745,1,1762744884.8782394,3.891468048095703
sensor_f1r1_normal,normal,21.844702480205264,1,1762744884.8798947,2.6252269744873047
sensor_f2r1_anomaly,anomaly,52.11706947734003,0,1762744884.8778627,5.015850067138672
sensor_f1r2_normal,normal,24.579423093264136,1,1762744884.8822088,1.5866756439208984
sensor_f1r1_anomaly,anomaly,86.89504888947144,3,1762744885.8721085,3.0989646911621094
sensor_f1r1_normal,normal,28.682881670645703,2,1762744885.8824005,3.4444332122802734
sensor_f2r1_anomaly,anomaly,81.65213073871095,1,1762744885.8820288,4.297733306884766
sensor_f1r3_normal,normal,29.426419225499018,1,1762744885.8819587,4.743099212646484
sensor_f1r2_normal,normal,21.915999146961447,2,1762744885.8835032,4.654407501220703
sensor_f1r2_anomaly,anomaly,63.676666589178325,2,1762744885.8820128,6.55674934387207
sensor_f1r3_anomaly,anomaly,56.04144021248134,1,1762744885.8813565,7.545709609985352
sensor_f2r2_normal,normal,24.681633444772842,0,1762744885.8868306,4.556894302368164
sensor_f2r1_normal,normal,26.557030603021055,0,1762744885.8880298,4.171848297119141
sensor_f2r2_anomaly,anomaly,83.69807419253569,0,1762744885.8915703,3.9582252502441406
sensor_f1r1_anomaly,anomaly,51.63706274983034,4,1762744886.875081,3.7267208099365234
