device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,91.472682442295,0,1762769285.898852,5.638599395751953
sensor_f1r1_anomaly,anomaly,97.19262175152242,1,1762769285.9546046,1.2929439544677734
sensor_f1r1_anomaly,anomaly,74.41982813802844,2,1762769286.0058048,2.5358200073242188
sensor_f1r1_anomaly,anomaly,97.96791617977748,3,1762769286.0582402,1.9011497497558594
sensor_f1r1_anomaly,anomaly,90.7288633266721,4,1762769286.1099954,1.8591880798339844
sensor_f1r1_anomaly,anomaly,99.63236822611319,5,1762769286.1626074,2.4547576904296875
sensor_f1r1_anomaly,anomaly,84.83761230092469,6,1762769286.2153506,1.7740726470947266
sensor_f1r1_anomaly,anomaly,73.77077900651642,7,1762769286.2679627,2.6466846466064453
sensor_f1r1_anomaly,anomaly,67.49379754358415,8,1762769286.3199637,2.0508766174316406
sensor_f1r1_anomaly,anomaly,92.6085679899355,9,1762769286.371727,2.1469593048095703
sensor_f1r1_anomaly,anomaly,85.6829344088037,10,1762769286.4240956,2.4847984313964844
sensor_f1r1_anomaly,anomaly,53.74975263050853,11,1762769286.4764397,2.3398399353027344
sensor_f1r1_anomaly,anomaly,77.40153612983961,12,1762769286.5296845,2.9649734497070312
sensor_f1r1_anomaly,anomaly,92.27298660878103,13,1762769286.5820916,2.939939498901367
sensor_f1r1_anomaly,anomaly,94.61523358625747,14,1762769286.6351147,2.9370784759521484
sensor_f1r1_anomaly,anomaly,77.34281701348904,15,1762769286.6875522,1.859426498413086
sensor_f1r1_anomaly,anomaly,78.6418943304726,16,1762769286.7393231,1.722574234008789
sensor_f1r1_anomaly,anomaly,71.03296489153257,17,1762769286.790702,2.0990371704101562
sensor_f1r1_anomaly,anomaly,70.65573162723437,18,1762769286.8428292,2.4542808532714844
sensor_f1r1_anomaly,anomaly,56.13714745100424,19,1762769286.8955777,2.554655075073242
sensor_f1r2_anomaly,anomaly,50.497434176270126,0,1762769286.901331,5.209922790527344
sensor_f1r1_normal,normal,26.80165813287251,0,1762769286.9020424,4.745721817016602
sensor_f1r2_normal,normal,21.580115404734986,0,1762769286.903154,4.181861877441406
sensor_f1r1_anomaly,anomaly,64.59049059590711,20,1762769286.9481566,2.3527145385742188
sensor_f1r2_normal,normal,21.96515737896819,1,1762769286.9574249,3.2813549041748047
sensor_f1r2_anomaly,anomaly,63.070067694648735,1,1762769286.9564242,4.726886749267578
sensor_f1r1_normal,normal,27.26134581931177,1,1762769286.9564893,5.02467155456543
sensor_f1r1_anomaly,anomaly,94.37068659747766,21,1762769287.0006115,2.8433799743652344
sensor_f1r1_normal,normal,24.831557181017036,2,1762769287.0099945,2.240419387817383
sensor_f1r2_normal,normal,20.668573243008485,2,1762769287.0095677,3.228425979614258
sensor_f1r2_anomaly,anomaly,56.23728759114596,2,1762769287.0099125,3.4332275390625
sensor_f1r1_anomaly,anomaly,83.83740437459099,22,1762769287.0530684,2.1059513092041016
sensor_f1r1_normal,normal,26.96480236636116,3,1762769287.0622368,3.0488967895507812
