device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,84.7929993900793,0,1762769753.3992279,5.068302154541016
sensor_f1r1_anomaly,anomaly,50.21408498555592,1,1762769753.4542627,2.0952224731445312
sensor_f1r1_anomaly,anomaly,83.11057091915458,2,1762769753.5065818,2.324342727661133
sensor_f1r1_anomaly,anomaly,74.90992125658127,3,1762769753.5596085,1.9698143005371094
sensor_f1r1_anomaly,anomaly,84.48511598670638,4,1762769753.6119695,1.9392967224121094
sensor_f1r1_anomaly,anomaly,52.65417631275307,5,1762769753.6644442,1.9938945770263672
sensor_f1r1_anomaly,anomaly,61.04725706762791,6,1762769753.716421,2.3081302642822266
sensor_f1r1_anomaly,anomaly,67.14184129204907,7,1762769753.7684224,1.97601318359375
sensor_f1r1_anomaly,anomaly,61.773033885695654,8,1762769753.8204553,1.4433860778808594
sensor_f1r1_anomaly,anomaly,74.07893481187756,9,1762769753.8723078,1.363992691040039
sensor_f1r1_normal,normal,26.899455189133057,0,1762769753.9024024,3.717184066772461
sensor_f1r2_anomaly,anomaly,70.0351809848016,0,1762769753.903886,3.509521484375
sensor_f1r1_anomaly,anomaly,84.94720746407194,10,1762769753.9240701,1.1022090911865234
sensor_f1r1_normal,normal,20.10132953700172,1,1762769753.956373,2.398967742919922
sensor_f1r2_anomaly,anomaly,88.65044462272763,1,1762769753.9576094,2.4917125701904297
sensor_f1r1_anomaly,anomaly,83.18215665840049,11,1762769753.9752443,1.9297599792480469
sensor_f1r2_anomaly,anomaly,65.52950354422221,2,1762769754.010181,1.9059181213378906
sensor_f1r1_normal,normal,28.75216383117063,2,1762769754.0096912,2.8259754180908203
sensor_f1r1_anomaly,anomaly,75.65401034725747,12,1762769754.0277176,2.4259090423583984
sensor_f1r2_anomaly,anomaly,79.51526211942081,3,1762769754.0622256,2.8378963470458984
sensor_f1r1_normal,normal,25.57215771356859,3,1762769754.0622256,3.3168792724609375
sensor_f1r1_anomaly,anomaly,69.26050830667926,13,1762769754.0798624,2.028942108154297
sensor_f1r2_anomaly,anomaly,71.04119587379573,4,1762769754.1147661,2.582073211669922
sensor_f1r1_normal,normal,21.980737748535915,4,1762769754.1147802,3.036022186279297
sensor_f1r1_anomaly,anomaly,56.50757532115066,14,1762769754.1327677,2.047300338745117
sensor_f1r2_anomaly,anomaly,83.19466967903313,5,1762769754.166861,2.206563949584961
sensor_f1r1_normal,normal,29.163323289241777,5,1762769754.1672685,2.538442611694336
sensor_f1r1_anomaly,anomaly,81.18071196136367,15,1762769754.1852016,1.9092559814453125
sensor_f1r2_anomaly,anomaly,70.98853980137146,6,1762769754.2191842,1.9407272338867188
sensor_f1r1_normal,normal,25.928234175610662,6,1762769754.2194645,2.115964889526367
