device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,93.83137023767122,0,1764526205.8092782,1.2767314910888672
sensor_f1r1_anomaly,anomaly,95.77823951286555,1,1764526205.8295624,0.7655620574951172
sensor_f1r1_anomaly,anomaly,70.70612609898714,2,1764526205.8499217,0.8399486541748047
sensor_f1r1_anomaly,anomaly,83.22906191357323,3,1764526205.870397,0.9927749633789062
sensor_f1r1_anomaly,anomaly,86.09824427048065,4,1764526205.8908255,1.3003349304199219
sensor_f1r1_anomaly,anomaly,59.29443286946771,5,1764526205.9115348,0.9109973907470703
sensor_f1r1_anomaly,anomaly,61.10973299444986,6,1764526205.9319997,0.7250308990478516
sensor_f1r1_anomaly,anomaly,94.05367010400496,7,1764526205.9524934,0.8687973022460938
sensor_f1r1_anomaly,anomaly,87.44086895276791,8,1764526205.9729748,0.8780956268310547
sensor_f1r1_anomaly,anomaly,51.922264176900576,9,1764526205.993459,0.8068084716796875
sensor_f1r1_anomaly,anomaly,87.76109359076013,10,1764526206.0138535,1.2476444244384766
sensor_f1r1_anomaly,anomaly,98.68614434157149,11,1764526206.0343373,0.9262561798095703
sensor_f1r1_anomaly,anomaly,60.377890067719946,12,1764526206.0547218,1.1134147644042969
sensor_f1r1_anomaly,anomaly,77.56487067222703,13,1764526206.075225,0.8172988891601562
sensor_f1r1_anomaly,anomaly,81.01982433646083,14,1764526206.0956357,0.8440017700195312
sensor_f1r1_anomaly,anomaly,77.16224348128674,15,1764526206.1161027,0.9186267852783203
sensor_f1r1_anomaly,anomaly,82.31263720685041,16,1764526206.13651,1.0242462158203125
sensor_f1r1_anomaly,anomaly,98.00259594452781,17,1764526206.15699,0.8656978607177734
sensor_f1r1_anomaly,anomaly,60.729695810610494,18,1764526206.1774623,0.9233951568603516
sensor_f1r1_anomaly,anomaly,73.64836608641835,19,1764526206.1979187,0.8816719055175781
sensor_f1r1_anomaly,anomaly,84.70854817213382,20,1764526206.21837,0.8378028869628906
sensor_f1r1_anomaly,anomaly,93.49782945006655,21,1764526206.2388194,0.9164810180664062
sensor_f1r1_anomaly,anomaly,89.76635075674088,22,1764526206.2593615,0.9021759033203125
sensor_f1r1_anomaly,anomaly,54.738419820534176,23,1764526206.2798455,0.8602142333984375
sensor_f1r1_anomaly,anomaly,73.5149345311095,24,1764526206.3003893,0.8437633514404297
sensor_f1r1_anomaly,anomaly,64.18878074622287,25,1764526206.3208907,0.9253025054931641
sensor_f1r1_anomaly,anomaly,53.87137091139,26,1764526206.3413155,0.9014606475830078
sensor_f1r1_anomaly,anomaly,76.539836521315,27,1764526206.3617399,0.9236335754394531
sensor_f1r1_anomaly,anomaly,98.9165823095692,28,1764526206.3821917,0.9894371032714844
sensor_f1r1_anomaly,anomaly,61.081082750108955,29,1764526206.4032042,0.9989738464355469
sensor_f1r1_anomaly,anomaly,94.81106686780322,30,1764526206.4236753,0.8559226989746094
sensor_f1r1_anomaly,anomaly,67.88439934759647,31,1764526206.4441924,0.9467601776123047
sensor_f1r1_anomaly,anomaly,71.72435235849855,32,1764526206.4646523,0.9171962738037109
sensor_f1r1_anomaly,anomaly,94.19619605868405,33,1764526206.4851162,0.9310245513916016
sensor_f1r1_anomaly,anomaly,90.57024189300799,34,1764526206.5055017,0.8487701416015625
sensor_f1r1_anomaly,anomaly,72.63150160334251,35,1764526206.525992,0.8471012115478516
sensor_f1r1_anomaly,anomaly,89.95470479993763,36,1764526206.5463798,0.8597373962402344
sensor_f1r1_anomaly,anomaly,90.46595544522093,37,1764526206.5667818,1.310110092163086
sensor_f1r1_anomaly,anomaly,91.92629128925299,38,1764526206.5872767,1.0645389556884766
sensor_f1r1_anomaly,anomaly,51.83114022235479,39,1764526206.6077986,1.264333724975586
sensor_f1r1_anomaly,anomaly,94.80248407844735,40,1764526206.628315,0.9400844573974609
sensor_f1r1_anomaly,anomaly,51.10354325963965,41,1764526206.6488063,0.9927749633789062
