device,type,value,seq,timestamp_sent,delay_ms
sensor_f1r1_anomaly,anomaly,72.3257310376699,0,1764886962.8517046,1.7020702362060547
sensor_f1r1_normal,normal,28.89812929078536,0,1764886962.915052,1.3434886932373047
sensor_f1r1_anomaly,anomaly,50.69552504723692,1,1764886962.952468,1.6527175903320312
sensor_f1r2_anomaly,anomaly,78.01058479291973,0,1764886962.9616232,1.369476318359375
sensor_f1r2_normal,normal,21.909169980123984,0,1764886963.011445,1.1434555053710938
sensor_f1r1_normal,normal,24.936406976160967,1,1764886963.015734,1.0917186737060547
sensor_f1r1_anomaly,anomaly,61.26389046273804,2,1764886963.0530722,0.9713172912597656
sensor_f1r2_anomaly,anomaly,55.58198725716535,1,1764886963.0623362,1.0838508605957031
sensor_f1r3_anomaly,anomaly,71.76938329966633,0,1764886963.0650516,1.4185905456542969
sensor_f1r2_normal,normal,22.588363542393793,1,1764886963.1121101,1.1849403381347656
sensor_f1r1_normal,normal,22.008553161639856,2,1764886963.1163986,0.9081363677978516
sensor_f1r3_normal,normal,20.560977600269208,0,1764886963.1174564,1.1870861053466797
sensor_f1r1_anomaly,anomaly,93.17400158860258,3,1764886963.1535869,0.7786750793457031
sensor_f1r2_anomaly,anomaly,80.18603914306551,2,1764886963.1628754,1.4789104461669922
sensor_f1r3_anomaly,anomaly,53.118704000827435,1,1764886963.1657584,1.0285377502441406
sensor_f2r1_anomaly,anomaly,78.29604255479246,0,1764886963.174558,1.294851303100586
sensor_f1r2_normal,normal,24.255728555987464,2,1764886963.2126322,1.0843276977539062
sensor_f1r1_normal,normal,23.034996420804827,3,1764886963.217002,0.9644031524658203
sensor_f1r3_normal,normal,20.329446485287743,1,1764886963.2183514,1.3017654418945312
sensor_f2r1_normal,normal,26.43102186890507,0,1764886963.2270782,5.3157806396484375
sensor_f1r1_anomaly,anomaly,76.18549967998509,4,1764886963.2540631,1.0662078857421875
sensor_f1r2_anomaly,anomaly,89.24575867952316,3,1764886963.2634187,1.251220703125
sensor_f1r3_anomaly,anomaly,68.27527867212277,2,1764886963.2663162,0.8547306060791016
sensor_f2r2_anomaly,anomaly,71.06959421174429,0,1764886963.2690592,1.1022090911865234
sensor_f2r1_anomaly,anomaly,75.98448348956816,1,1764886963.2752166,0.9214878082275391
sensor_f1r2_normal,normal,23.51253774257627,3,1764886963.3132448,17.989158630371094
sensor_f1r1_anomaly,anomaly,89.16836506129472,5,1764886963.3545377,0.9958744049072266
sensor_f1r2_anomaly,anomaly,85.71872276198901,4,1764886963.363862,1.1258125305175781
sensor_f1r3_anomaly,anomaly,93.74768082203346,3,1764886963.3667576,0.926971435546875
sensor_f2r2_anomaly,anomaly,91.88821082938011,1,1764886963.3696415,1.0023117065429688
sensor_f2r1_anomaly,anomaly,69.15178273142992,2,1764886963.3757813,1.0509490966796875
sensor_f2r3_anomaly,anomaly,72.87024717210092,0,1764886963.3858314,1.3191699981689453
sensor_f1r1_normal,normal,27.16823007542208,4,1764886963.3174682,78.00436019897461
sensor_f1r1_anomaly,anomaly,62.671984756981544,6,1764886963.4550502,1.1281967163085938
sensor_f2r2_normal,normal,20.512347314530494,0,1764886963.3255196,133.6522102355957
sensor_f1r2_anomaly,anomaly,96.04167446348552,5,1764886963.4643745,0.8447170257568359
sensor_f1r3_anomaly,anomaly,74.89687683580901,4,1764886963.4672635,0.5469322204589844
sensor_f2r2_anomaly,anomaly,90.892227923684,2,1764886963.470245,0.8289813995361328
sensor_f2r1_anomaly,anomaly,92.69740500701022,3,1764886963.4763095,0.5064010620117188
sensor_f3r1_anomaly,anomaly,71.04801962341342,0,1764886963.4824312,0.5896091461181641
sensor_f2r3_anomaly,anomaly,95.64923614720902,1,1764886963.486516,0.9098052978515625
sensor_f2r1_normal,normal,29.037102147538203,1,1764886963.3276925,195.9066390991211
sensor_f1r1_anomaly,anomaly,82.39027687725056,7,1764886963.5557315,0.9903907775878906
sensor_f1r2_anomaly,anomaly,81.66101678357646,6,1764886963.5648322,1.0848045349121094
sensor_f1r3_anomaly,anomaly,82.49772209341049,5,1764886963.5676286,0.8816719055175781
sensor_f2r2_anomaly,anomaly,53.6207003221528,3,1764886963.5708196,1.0726451873779297
sensor_f2r1_anomaly,anomaly,88.02961599708888,4,1764886963.5766768,1.129150390625
sensor_f3r1_anomaly,anomaly,52.02397304798964,1,1764886963.5828981,1.15966796875
sensor_f1r3_normal,normal,23.258343350852524,2,1764886963.318788,269.1988945007324
sensor_f2r3_anomaly,anomaly,91.10277513972473,2,1764886963.5871222,1.3530254364013672
sensor_f3r2_anomaly,anomaly,99.18504639138436,0,1764886963.5930717,3.4265518188476562
sensor_f2r3_normal,normal,26.277154991126245,0,1764886963.4264686,225.538969039917
sensor_f1r1_anomaly,anomaly,73.29025817516845,8,1764886963.6563416,1.0044574737548828
sensor_f1r2_anomaly,anomaly,56.72388322609392,7,1764886963.665351,1.0662078857421875
sensor_f1r3_anomaly,anomaly,69.15254496515145,6,1764886963.668127,0.9551048278808594
sensor_f2r2_anomaly,anomaly,67.66900080090474,4,1764886963.6714363,1.0614395141601562
sensor_f2r1_anomaly,anomaly,73.24739388275712,5,1764886963.6772563,0.9641647338867188
sensor_f3r1_anomaly,anomaly,87.98471956747716,2,1764886963.6835296,1.2314319610595703
sensor_f3r3_anomaly,anomaly,70.79704649657299,0,1764886963.6838593,12.912988662719727
sensor_f2r3_anomaly,anomaly,64.64994758995766,3,1764886963.6876042,24.584054946899414
sensor_f3r2_anomaly,anomaly,61.185601020996124,1,1764886963.6938243,30.272960662841797
sensor_f2r2_normal,normal,23.749849398801437,1,1764886963.426045,325.2100944519043
sensor_f1r1_anomaly,anomaly,61.11745876017301,9,1764886963.7568872,0.9374618530273438
sensor_f1r2_anomaly,anomaly,70.01608969714745,8,1764886963.765888,0.8897781372070312
sensor_f1r3_anomaly,anomaly,63.588654585797194,7,1764886963.7686543,4.794597625732422
sensor_f2r2_anomaly,anomaly,72.24352854946191,5,1764886963.7719815,13.651609420776367
sensor_f2r1_anomaly,anomaly,67.72736695748674,6,1764886963.777605,20.394325256347656
sensor_f3r1_anomaly,anomaly,94.08472624468007,3,1764886963.7840269,28.95641326904297
sensor_f1r2_normal,normal,25.092537672314222,4,1764886963.4138944,401.59010887145996
sensor_f3r3_anomaly,anomaly,64.40028029155953,1,1764886963.7849078,39.817094802856445
sensor_f2r3_anomaly,anomaly,93.36162367172793,4,1764886963.7881167,48.57468605041504
sensor_f3r2_anomaly,anomaly,98.32710230332387,2,1764886963.7945328,54.409027099609375
sensor_f1r1_anomaly,anomaly,51.43626425753779,10,1764886963.8574324,13.625144958496094
sensor_f2r1_normal,normal,24.36840983222393,2,1764886963.4280443,451.4117240905762
sensor_f1r2_anomaly,anomaly,96.81661003480824,9,1764886963.8663707,16.42012596130371
sensor_f1r3_anomaly,anomaly,84.67067284773525,8,1764886963.8693044,25.549888610839844
sensor_f2r2_anomaly,anomaly,81.87917728734983,6,1764886963.8724034,37.84680366516113
sensor_f2r1_anomaly,anomaly,54.545035624541995,7,1764886963.8779573,44.42143440246582
sensor_f3r1_anomaly,anomaly,79.66219120906544,4,1764886963.8844478,50.15373229980469
sensor_f3r1_normal,normal,20.023057007493488,0,1764886963.532834,410.6299877166748
sensor_f3r3_anomaly,anomaly,63.498425231537574,2,1764886963.8860698,60.666561126708984
sensor_f2r3_anomaly,anomaly,81.6285366523127,5,1764886963.8885372,70.4500675201416
sensor_f3r2_anomaly,anomaly,92.97750439314939,3,1764886963.8949854,75.8962631225586
sensor_f1r1_anomaly,anomaly,58.57787800958955,11,1764886963.9578347,27.060270309448242
sensor_f1r1_normal,normal,27.714131373782774,5,1764886963.4179666,589.7090435028076
sensor_f1r2_anomaly,anomaly,62.51300077611659,10,1764886963.966788,55.30977249145508
sensor_f1r3_anomaly,anomaly,92.6498501118605,9,1764886963.9698806,70.9695816040039
sensor_f2r2_anomaly,anomaly,53.86265246364302,7,1764886963.972716,86.66753768920898
sensor_f2r3_normal,normal,27.603651957431527,1,1764886963.5271492,544.8622703552246
sensor_f2r3_normal,normal,27.07905902369417,2,1764886963.6276832,444.8094367980957
sensor_f2r1_anomaly,anomaly,51.56153980690137,8,1764886963.9782574,99.93696212768555
sensor_f3r1_anomaly,anomaly,90.25547995661009,5,1764886963.984794,111.7861270904541
sensor_f3r1_anomaly,anomaly,92.5493182273228,6,1764886964.085389,11.693000793457031
sensor_f3r3_anomaly,anomaly,64.15237671608816,3,1764886963.9863942,142.24863052368164
sensor_f3r3_anomaly,anomaly,91.57402915112893,4,1764886964.0868905,42.29378700256348
sensor_f2r3_anomaly,anomaly,75.92922021681547,6,1764886963.988872,163.72108459472656
sensor_f2r3_anomaly,anomaly,77.81709863312173,7,1764886964.0893767,63.744306564331055
sensor_f3r2_anomaly,anomaly,90.18519484792935,4,1764886963.9953125,176.3162612915039
sensor_f3r2_anomaly,anomaly,71.4375470862347,5,1764886964.095811,76.32732391357422
sensor_f1r1_anomaly,anomaly,88.74649867541882,12,1764886964.0583732,131.8204402923584
sensor_f1r1_anomaly,anomaly,85.47461245498077,13,1764886964.1588838,31.785964965820312
sensor_f1r3_normal,normal,29.952740025746717,3,1764886963.4192884,801.8553256988525
sensor_f1r3_normal,normal,28.29738736219714,4,1764886963.519863,701.8554210662842
sensor_f1r2_anomaly,anomaly,53.5483516755614,11,1764886964.067372,178.87306213378906
sensor_f1r2_anomaly,anomaly,95.43545454460534,12,1764886964.1679096,78.81641387939453
sensor_f1r3_anomaly,anomaly,98.74660869064402,10,1764886964.0704482,194.10967826843262
sensor_f1r3_anomaly,anomaly,61.65763804241088,11,1764886964.171065,94.00653839111328
sensor_f2r2_anomaly,anomaly,88.32628876904013,8,1764886964.0732136,209.92183685302734
sensor_f2r2_anomaly,anomaly,74.73003941140712,9,1764886964.1736767,109.99894142150879
sensor_f2r2_anomaly,anomaly,96.99701739971745,10,1764886964.2742548,9.891033172607422
sensor_f2r1_anomaly,anomaly,84.78871398764274,9,1764886964.078719,241.6515350341797
sensor_f2r1_anomaly,anomaly,66.52716114164392,10,1764886964.1792824,141.5867805480957
sensor_f2r1_anomaly,anomaly,97.477636440221,11,1764886964.2798314,41.52488708496094
sensor_f2r2_normal,normal,28.023811109935792,2,1764886963.526618,804.7215938568115
sensor_f2r2_normal,normal,20.188774600362986,3,1764886963.6272328,704.6077251434326
sensor_f3r1_anomaly,anomaly,73.9299556892605,7,1764886964.1859918,172.2395420074463
sensor_f3r1_anomaly,anomaly,90.4901929491753,8,1764886964.286449,72.25728034973145
sensor_f2r3_anomaly,anomaly,51.096998399602306,8,1764886964.1901557,223.3567237854004
sensor_f2r3_anomaly,anomaly,86.86698576367903,9,1764886964.290644,123.42309951782227
sensor_f2r3_anomaly,anomaly,97.05059907595381,10,1764886964.3915615,22.909879684448242
sensor_f3r3_anomaly,anomaly,92.24413949105968,5,1764886964.1874344,243.94726753234863
sensor_f3r3_anomaly,anomaly,84.89866927154503,6,1764886964.2879045,143.74423027038574
sensor_f3r3_anomaly,anomaly,94.54366253140141,7,1764886964.3888092,43.0450439453125
sensor_f3r2_anomaly,anomaly,78.90560184150641,6,1764886964.1963964,254.91738319396973
sensor_f3r2_anomaly,anomaly,68.33231123668638,7,1764886964.2968493,154.78062629699707
sensor_f3r2_anomaly,anomaly,50.16733439394523,8,1764886964.3976927,54.17823791503906
sensor_f1r1_anomaly,anomaly,59.33586214772507,14,1764886964.2594154,213.13810348510742
sensor_f1r1_anomaly,anomaly,67.4654304682635,15,1764886964.3599768,113.08503150939941
sensor_f1r1_anomaly,anomaly,63.58403894174506,16,1764886964.4608278,12.63427734375
sensor_f2r1_normal,normal,20.625028309351503,3,1764886963.5284774,951.9679546356201
sensor_f2r1_normal,normal,23.571055958894508,4,1764886963.628902,852.0762920379639
sensor_f2r1_normal,normal,27.362890149186715,5,1764886963.7294056,752.0012855529785
sensor_f1r2_anomaly,anomaly,71.92883564546904,13,1764886964.2684503,240.22412300109863
sensor_f1r2_anomaly,anomaly,84.38504852142302,14,1764886964.3688624,140.3670310974121
sensor_f1r2_anomaly,anomaly,52.335230849065,15,1764886964.4701693,39.48020935058594
sensor_f1r3_anomaly,anomaly,79.28509010560944,12,1764886964.2716339,291.97025299072266
sensor_f1r3_anomaly,anomaly,84.20798478418823,13,1764886964.3721964,191.96605682373047
sensor_f1r3_anomaly,anomaly,70.70753553392066,14,1764886964.4730134,91.56179428100586
sensor_f2r2_anomaly,anomaly,94.04395773835205,11,1764886964.375252,206.63070678710938
sensor_f2r2_anomaly,anomaly,90.1790119919709,12,1764886964.475794,106.57930374145508
sensor_f2r2_anomaly,anomaly,65.43728017457681,13,1764886964.5765963,6.160259246826172
sensor_f2r1_anomaly,anomaly,66.81083209514014,12,1764886964.3806813,220.0312614440918
sensor_f2r1_anomaly,anomaly,76.3515361822095,13,1764886964.4811642,120.06974220275879
sensor_f2r1_anomaly,anomaly,97.50253596243876,14,1764886964.5817447,19.933223724365234
sensor_f3r1_anomaly,anomaly,87.52739832130152,9,1764886964.38729,250.54073333740234
sensor_f3r2_normal,normal,24.314042219527625,0,1764886963.6386569,999.7413158416748
sensor_f3r1_anomaly,anomaly,99.66971932999272,10,1764886964.4877667,151.0159969329834
sensor_f3r1_anomaly,anomaly,89.41614513397833,11,1764886964.5885253,50.66418647766113
sensor_f2r3_anomaly,anomaly,78.2516536877283,11,1764886964.4920728,219.4218635559082
sensor_f2r3_anomaly,anomaly,72.1220231414857,12,1764886964.5925477,119.4915771484375
sensor_f2r3_anomaly,anomaly,89.01058583517452,13,1764886964.69307,19.393205642700195
sensor_f3r1_normal,normal,23.084546667093754,1,1764886963.6336002,1089.189052581787
